;estado;cidade;populacao;pib;pib_percapita
0;BAHIA;Tremedal;18433;57883.9921875;3140.23999023
1;RIO GRANDE DO SUL;Turucu;4000;45723.875;11430.96972656
2;ESPIRITO SANTO;Vitoria;320156;19782628.0;61790.58984375
3;MINAS GERAIS;Jacutinga;21424;247816.0;11567.20996094
4;PIAUI;Nazaria;7895;20951.38085938;2653.75
5;MINAS GERAIS;Pedra Azul;26000;187523.671875;7212.45019531
6;PIAUI;Teresina;802537;8700461.0;10841.20019531
7;PIAUI;Amarante;17892;65322.88671875;3650.94995117
8;GOIAS;Matrincha;4420;45910.546875;10387.0
9;PERNAMBUCO;Cachoeirinha;18123;80433.8046875;4438.22021484
10;PARA;Afua;32633;100038.40625;3065.56005859
11;PERNAMBUCO;Fernando de Noronha;3108;26980.71484375;8681.04980469
12;RIO GRANDE DO SUL;Frederico Westphalen;28428;490769.53125;17263.59960938
13;SERGIPE;Amparo de Sao Francisco;2268;12769.73339844;5630.39013672
14;SAO PAULO;Itapeva;89768;1120700.0;12484.40039062
15;PARAIBA;Bayeux;96198;604882.125;6287.89013672
16;TOCANTINS;Ananas;9514;59541.40625;6258.29003906
17;MINAS GERAIS;Santo Antonio do Retiro;7087;25568.890625;3607.86010742
18;PARAIBA;Serra Branca;12816;62123.3359375;4847.33007812
19;AMAZONAS;Envira;17614;69843.03125;3965.19995117
20;TOCANTINS;Oliveira de Fatima;1129;11591.94921875;10267.45019531
21;SAO PAULO;Elisiario;3317;52295.234375;15765.8203125
22;SANTA CATARINA;Otacilio Costa;16587;364577.8125;21979.73046875
23;MINAS GERAIS;Sericita;7345;39047.0703125;5316.14013672
24;MINAS GERAIS;Diamantina;46372;287632.03125;6202.70996094
25;BAHIA;Maetinga;7884;23558.44726562;2988.12988281
26;CEARA;Iracema;15114;62552.0234375;4138.68017578
27;RORAIMA;Sao Joao da Baliza;6028;59372.453125;9849.45019531
28;RIO GRANDE DO SUL;Paulo Bento;2149;37882.76953125;17628.08984375
29;PERNAMBUCO;Alagoinha;14913;57886.21484375;3881.59008789
30;PIAUI;Inhuma;15490;62012.0234375;4003.36010742
31;MARANHAO;Joselandia;16188;60842.48046875;3758.48999023
32;RIO DE JANEIRO;Itaguai;105633;3008327.25;28479.05078125
33;MINAS GERAIS;Cedro do Abaete;1221;10221.85644531;8371.70996094
34;RIO GRANDE DO SUL;Cacequi;13578;174171.703125;12827.49023438
35;PERNAMBUCO;Barra de Guabiraba;13623;46595.87109375;3420.37988281
36;BAHIA;Ibirapua;7893;74997.40625;9501.75976562
37;PARAIBA;Bernardino Batista;3315;11964.66210938;3609.25
38;PARAIBA;Lagoa;4949;19203.7109375;3880.32006836
39;MATO GROSSO;Novo Horizonte do Norte;3970;32778.5078125;8256.54980469
40;MINAS GERAIS;Nova Lima;76608;2120726.75;27682.83984375
41;PARA;Tome-Acu;48607;226379.46875;4657.33984375
42;BAHIA;Governador Mangabeira;20668;92903.8203125;4495.06005859
43;PIAUI;Aroeiras do Itaim;2759;8614.79785156;3122.42993164
44;GOIAS;Perolandia;2830;145665.390625;51471.87109375
45;PARAIBA;Pocinhos;16538;68767.046875;4158.12011719
46;BAHIA;Ibitita;19410;62366.88671875;3213.12988281
47;TOCANTINS;Alianca do Tocantins;5822;44565.703125;7654.70996094
48;MINAS GERAIS;Igarape;33773;277495.78125;8216.5
49;TOCANTINS;Lagoa da Confusao;8711;263527.4375;30252.25976562
50;PARAIBA;Puxinana;13354;59902.4921875;4485.72998047
51;SAO PAULO;Guaruja;308058;3429098.5;11131.33984375
52;RIO GRANDE DO SUL;Engenho Velho;1467;24098.88671875;16427.33007812
53;PARANA;Rio Bom;3292;29087.8984375;8835.9296875
54;BAHIA;Satiro Dias;18919;75908.4609375;4012.29003906
55;SANTA CATARINA;Jose Boiteux;5054;50867.8984375;10064.87988281
56;PARA;Cachoeira do Arari;20411;62800.12890625;3076.7800293
57;BAHIA;Irajuba;7666;29224.98828125;3812.29003906
58;PERNAMBUCO;Palmares;58819;387086.59375;6580.97998047
59;SERGIPE;Brejo Grande;8086;39924.37890625;4937.47021484
60;PARANA;Altamira do Parana;3799;37563.4296875;9887.71972656
61;MATO GROSSO;Nova Santa Helena;3473;49004.0;14109.99023438
62;PARAIBA;Sao Sebastiao do Umbuzeiro;3170;15186.453125;4790.68017578
63;MATO GROSSO;Nova Guarita;4907;45700.81640625;9313.38964844
64;MARANHAO;Serrano do Maranhao;11085;40995.56640625;3698.29003906
65;SAO PAULO;Pedrinhas Paulista;2927;75881.6875;25924.73046875
66;GOIAS;Santa Rita do Novo Destino;3576;29350.61328125;8207.66992188
67;PARAIBA;Cabedelo;51865;2332828.25;44978.8515625
68;PERNAMBUCO;Cabrobo;30432;188859.3125;6205.95019531
69;ALAGOAS;Dois Riachos;11200;35078.25390625;3131.98999023
70;MATO GROSSO DO SUL;Corumba;99467;2715506.75;27300.58007812
71;MINAS GERAIS;Santa Maria do Suacui;14931;71374.390625;4780.27978516
72;MATO GROSSO;Tapurah;11517;321427.21875;27908.93945312
73;PARA;Braganca;107060;382807.5625;3575.63989258
74;RIO DE JANEIRO;Tres Rios;76075;1304643.375;17149.43945312
75;ALAGOAS;Belem;5083;19550.015625;3846.15991211
76;CEARA;Abaiara;11077;33615.54296875;3034.7199707
77;BAHIA;Itaquara;7743;33105.69921875;4275.56982422
78;MARANHAO;Santa Luzia;71455;243949.921875;3414.04003906
79;PARAIBA;Patos;100732;615180.875;6107.10009766
80;SAO PAULO;Sao Luis do Paraitinga;10908;82827.171875;7593.25
81;SANTA CATARINA;Cordilheira Alta;3531;128883.09375;36500.44921875
82;MINAS GERAIS;Catas Altas da Noruega;3573;14633.55566406;4095.59008789
83;ACRE;Marechal Thaumaturgo;14275;109181.8671875;7648.47021484
84;PARAIBA;Riachao do Bacamarte;4319;17855.66796875;4134.20996094
85;MARANHAO;Senador Alexandre Costa;9414;31518.8046875;3348.08007812
86;MARANHAO;Sao Raimundo do Doca Bezerra;4372;19792.5078125;4527.10986328
87;PARANA;Diamante do Norte;5668;39603.3515625;6987.18017578
88;PARA;Breu Branco;52200;282525.6875;5412.37011719
89;PERNAMBUCO;Angelim;10385;41266.19140625;3973.62988281
90;RIO GRANDE DO SUL;Arvorezinha;10548;120895.8828125;11461.5
91;MARANHAO;Presidente Medici;6363;26121.25585938;4105.18017578
92;RIO GRANDE DO SUL;Palmeira das Missoes;34225;597852.75;17468.30078125
93;SAO PAULO;Divinolandia;11343;158577.421875;13980.20019531
94;BAHIA;Cansancao;34093;112228.7734375;3291.84008789
95;SERGIPE;Tomar do Geru;13717;62506.4609375;4556.85986328
96;PARANA;Santa Lucia;3743;34974.37109375;9343.94042969
97;RIO GRANDE DO NORTE;Rafael Godeiro;3251;14798.20410156;4551.89013672
98;CEARA;Novo Oriente;28703;93621.4453125;3261.72998047
99;PARAIBA;Alcantil;5232;22410.37304688;4283.33007812
100;SANTA CATARINA;Meleiro;7063;158156.390625;22392.24023438
101;MATO GROSSO;Sapezal;15735;1418892.125;90174.2734375
102;MINAS GERAIS;Pouso Alto;6494;80420.0546875;12383.75
103;PIAUI;Dom Inocencio;10795;25457.23046875;2358.23999023
104;SERGIPE;Santana do Sao Francisco;6861;30641.17382812;4465.99023438
105;MINAS GERAIS;Campanha;15949;145911.328125;9148.62011719
106;MINAS GERAIS;Orizania;7078;32101.34765625;4535.37011719
107;SANTA CATARINA;Sao Jose do Cerrito;10624;78940.25;7430.37011719
108;PIAUI;Prata do Piaui;3260;10738.21386719;3293.92993164
109;MARANHAO;Amarante do Maranhao;37388;131346.625;3513.07006836
110;BAHIA;Itaparica;20796;102586.6484375;4933.0
111;SAO PAULO;Araraquara;200666;4193535.25;20898.08984375
112;SERGIPE;Indiaroba;18126;86033.2578125;4746.39990234
113;RIO GRANDE DO NORTE;Taipu;12165;68109.515625;5598.81005859
114;BAHIA;Nova Redencao;9318;28909.56835938;3102.55004883
115;PARA;Aveiro;20266;54393.734375;2683.98999023
116;PIAUI;Alegrete do Piaui;4595;21006.09179688;4571.50976562
117;RIO GRANDE DO SUL;Monte Belo do Sul;2826;58234.10546875;20606.55078125
118;PARANA;Nova Aurora;11636;189617.90625;16295.79980469
119;PERNAMBUCO;Santa Maria do Cambuca;12942;48165.3125;3721.62988281
120;SANTA CATARINA;Peritiba;2977;46664.69921875;15675.08007812
121;MINAS GERAIS;Brasopolis;14756;105255.1484375;7133.04003906
122;PIAUI;Lagoa Alegre;8210;24826.51953125;3023.93994141
123;PIAUI;Curimata;10765;40100.8359375;3725.11010742
124;PARAIBA;Barra de Santana;8909;34139.8046875;3832.06005859
125;MINAS GERAIS;Leme do Prado;5145;22865.88476562;4444.29003906
126;PARAIBA;Alagoa Nova;19799;123786.2734375;6252.14990234
127;RIO GRANDE DO SUL;Sao Jeronimo;21289;281260.28125;13211.53027344
128;MINAS GERAIS;Rio Vermelho;15343;62241.30078125;4056.65991211
129;SAO PAULO;Itapevi;205881;3638207.25;17671.41015625
130;BAHIA;Ibicui;16464;69475.15625;4219.81982422
131;PARANA;Rancho Alegre;4083;33275.3046875;8149.72021484
132;RIO GRANDE DO SUL;Erval Grande;5367;53334.69921875;9937.53027344
133;MATO GROSSO;Planalto da Serra;2797;33849.7578125;12102.16992188
134;BAHIA;Santa Rita de Cassia;27528;91663.0;3329.81005859
135;MINAS GERAIS;Imbe de Minas;6641;38283.34375;5764.70019531
136;GOIAS;Novo Gama;88835;352584.96875;3968.98999023
137;PIAUI;Passagem Franca do Piaui;4246;14411.97558594;3394.25
138;RIO GRANDE DO SUL;Chui;5496;140923.671875;25641.13085938
139;CEARA;Ibaretama;13206;42010.30078125;3181.14990234
140;SAO PAULO;Bastos;21380;322317.3125;15075.65039062
141;SAO PAULO;Tres Fronteiras;5163;49727.08984375;9631.4296875
142;GOIAS;Britania;5190;48315.8125;9309.41015625
143;MINAS GERAIS;Douradoquara;1924;23141.8359375;12027.98046875
144;PARANA;Pirai do Sul;24374;293748.59375;12051.71972656
145;SAO PAULO;Americo Brasiliense;33255;578886.875;17407.50976562
146;BAHIA;Nordestina;12670;35456.31640625;2798.44995117
147;PARANA;Sao Manoel do Parana;2170;18855.14453125;8689.00976562
148;SANTA CATARINA;Santa Cecilia;15928;201708.875;12663.79003906
149;PARAIBA;Serra Grande;3147;12504.2421875;3973.37988281
150;PIAUI;Alagoinha do Piaui;7736;27277.73046875;3526.08007812
151;SANTA CATARINA;Sao Joao do Sul;7174;84870.84375;11830.33984375
152;MATO GROSSO DO SUL;Anastacio;23047;202939.390625;8805.45996094
153;RIO GRANDE DO NORTE;Pedra Preta;2718;12639.96777344;4650.47021484
154;MARANHAO;Alto Alegre do Maranhao;22914;70238.390625;3065.30004883
155;SERGIPE;Poco Redondo;30249;138586.828125;4581.52978516
156;SAO PAULO;Sertaozinho;110999;4155643.5;37438.5703125
157;PARAIBA;Riacho de Santo Antonio;1588;9611.00976562;6052.27001953
158;PARAIBA;Sao Jose da Lagoa Tapada;8067;29955.484375;3713.34008789
159;BAHIA;Coronel Joao Sa;18408;76828.921875;4173.66992188
160;RIO GRANDE DO SUL;Sarandi;21828;389289.53125;17834.41015625
161;MARANHAO;Governador Luiz Rocha;7144;23451.05078125;3282.62011719
162;MINAS GERAIS;Pirangucu;5319;34538.80859375;6493.47998047
163;BAHIA;Pedro Alexandre;17698;58842.01171875;3324.7800293
164;MARANHAO;Morros;17916;48157.7734375;2687.97998047
165;RIO GRANDE DO SUL;Casca;8654;201810.28125;23319.88085938
166;PARANA;Sao Mateus do Sul;41188;552378.875;13411.16015625
167;RIO DE JANEIRO;Varre-Sai;8852;88212.8359375;9965.29980469
168;SAO PAULO;Sabino;5420;71262.4765625;13148.05957031
169;SAO PAULO;Caraguatatuba;96125;1147377.5;11936.30957031
170;BAHIA;Prado;26016;285453.96875;10972.25
171;SANTA CATARINA;Rio das Antas;6237;86345.3984375;13844.05957031
172;PARAIBA;Cruz do Espirito Santo;15854;71412.4453125;4504.37988281
173;RIO GRANDE DO SUL;Protasio Alves;2188;30150.00390625;13779.70996094
174;BAHIA;Iacu;28602;109799.9453125;3838.88989258
175;SERGIPE;Areia Branca;16733;86116.2890625;5146.49023438
176;RONDONIA;Itapua do Oeste;8235;84785.7265625;10295.78027344
177;MINAS GERAIS;Sao Joao Evangelista;16254;81616.9921875;5021.35009766
178;PIAUI;Cocal;27220;79448.5;2918.75
179;PARANA;Sao Tome;5522;89769.359375;16256.6796875
180;PERNAMBUCO;Lagoa do Ouro;12244;48624.8359375;3971.32006836
181;RIO GRANDE DO SUL;Cacique Doble;5008;52123.5;10408.04980469
182;RIO GRANDE DO SUL;Porto Xavier;11131;142891.265625;12837.24023438
183;MINAS GERAIS;Ewbank da Camara;3676;19510.05859375;5307.41992188
184;RORAIMA;Pacaraima;9220;93442.5703125;10134.76953125
185;MINAS GERAIS;Vicosa;74171;599764.125;8086.22998047
186;MATO GROSSO DO SUL;Sonora;13334;258011.5625;19349.90039062
187;RIO GRANDE DO SUL;Jari;3802;88814.828125;23360.02929688
188;PERNAMBUCO;Joaquim Nabuco;16498;96163.34375;5828.79003906
189;MINAS GERAIS;Ubaporanga;12561;69659.015625;5545.66015625
190;PARANA;Tupassi;7947;137302.3125;17277.25
191;SAO PAULO;Santo Expedito;2956;27413.52148438;9273.86035156
192;RIO GRANDE DO SUL;Caicara;5240;60827.06640625;11608.21972656
193;MARANHAO;Capinzal do Norte;10688;44285.91796875;4143.52001953
194;RIO GRANDE DO NORTE;Caicara do Norte;6652;31648.85742188;4757.79980469
195;SAO PAULO;Paulo de Faria;9463;121381.28125;12826.9296875
196;PARANA;Ampere;18041;193306.609375;10714.84960938
197;PIAUI;Paes Landim;4562;14581.94140625;3196.38989258
198;MINAS GERAIS;Campo do Meio;11871;83806.1875;7059.74023438
199;PARANA;Anahy;2926;33611.8046875;11487.29003906
200;ESPIRITO SANTO;Serra;404688;11531826.0;28495.59960938
201;SAO PAULO;Sao Joao do Pau d'Alho;2191;36372.3046875;16600.77929688
202;SAO PAULO;Pauliceia;5791;73761.8125;12737.3203125
203;RIO GRANDE DO NORTE;Vicosa;1856;8834.24511719;4759.83007812
204;RIO GRANDE DO NORTE;Fernando Pedroza;2994;12757.65820312;4261.06982422
205;MINAS GERAIS;Aricanduva;5140;23447.10742188;4561.68994141
206;BAHIA;Araci;54713;172730.890625;3157.04003906
207;SAO PAULO;Tremembe;41159;393278.46875;9555.09960938
208;TOCANTINS;Buriti do Tocantins;8454;39691.9453125;4695.04980469
209;GOIAS;Cezarina;7832;145802.765625;18616.2890625
210;MARANHAO;Vitorino Freire;31144;122207.015625;3923.92993164
211;RONDONIA;Ariquemes;85541;1040960.75;12169.13964844
212;PARAIBA;Serido;10091;32620.47851562;3232.62988281
213;PARANA;Castro;68071;1097076.75;16116.65039062
214;ALAGOAS;Santana do Mundau;12039;52134.53515625;4330.47021484
215;PARAIBA;Esperanca;30855;221022.5625;7163.27001953
216;PARAIBA;Poco de Jose de Moura;4118;17580.734375;4269.24023438
217;GOIAS;Gouvelandia;4790;120889.484375;25237.890625
218;RIO GRANDE DO SUL;Ibiraiaras;7319;136556.0625;18657.75
219;ESPIRITO SANTO;Pancas;18497;123706.6484375;6687.93017578
220;RIO DE JANEIRO;Cardoso Moreira;12481;203775.765625;16326.87988281
221;PARANA;Sao Pedro do Iguacu;6561;84376.4140625;12860.29980469
222;PARAIBA;Uirauna;14963;65173.609375;4355.64990234
223;ALAGOAS;Campo Alegre;47209;182361.03125;3862.84008789
224;SANTA CATARINA;Morro da Fumaca;16128;370818.0;22992.18945312
225;RIO GRANDE DO SUL;Westfalia;2843;67336.796875;23685.11914062
226;MINAS GERAIS;Catuti;5473;22031.84960938;4025.55004883
227;PIAUI;Cocal de Telha;4689;15476.57128906;3300.61010742
228;SAO PAULO;Leme;88995;1338844.125;15044.04003906
229;SAO PAULO;Nova Europa;10092;113681.1171875;11264.48046875
230;MARANHAO;Bequimao;21508;64784.91796875;3012.12988281
231;PARANA;Quedas do Iguacu;31976;477660.84375;14938.11035156
232;PARAIBA;Matureia;6029;24164.58789062;4008.06005859
233;ALAGOAS;Passo de Camaragibe;14261;59784.6875;4192.18017578
234;SAO PAULO;Sao Joao das Duas Pontes;2630;31190.76757812;11859.61035156
235;SAO PAULO;Promissao;37570;771585.3125;20537.26953125
236;PERNAMBUCO;Santa Cruz;14782;53805.15234375;3639.90991211
237;SERGIPE;Pacatuba;12870;153896.0;11957.73046875
238;BAHIA;Coribe;14895;63455.30859375;4260.18017578
239;RIO GRANDE DO NORTE;Messias Targino;3923;21696.81640625;5530.66992188
240;ESPIRITO SANTO;Alto Rio Novo;6172;47128.93359375;7635.93017578
241;SAO PAULO;Novais;3974;37936.8671875;9546.26953125
242;PIAUI;Campo Grande do Piaui;5898;20200.31054688;3424.93994141
243;MINAS GERAIS;Inhapim;24952;150295.234375;6023.37011719
244;SANTA CATARINA;Ermo;1857;40582.9296875;21854.02929688
245;BAHIA;Aracas;12209;97321.03125;7971.25
246;BAHIA;Conceicao do Almeida;17974;69316.4296875;3856.47998047
247;GOIAS;Orizona;15201;234588.984375;15432.46972656
248;CEARA;Acarape;15627;56133.1015625;3592.06005859
249;PARAIBA;Piloezinhos;5470;21413.59960938;3914.72998047
250;MINAS GERAIS;Serra Azul de Minas;4479;17296.31054688;3861.64990234
251;MINAS GERAIS;Passa-Vinte;2132;12662.79980469;5939.39990234
252;PERNAMBUCO;Petrolina;281851;2283346.25;8101.25
253;MINAS GERAIS;Juruaia;8684;72658.75;8366.96972656
254;BAHIA;Baianopolis;14195;60239.99609375;4243.75
255;MATO GROSSO;Gaucha do Norte;6195;132122.640625;21327.30078125
256;MINAS GERAIS;Araujos;7692;61315.7109375;7971.35986328
257;SAO PAULO;Santo Anastacio;21222;225050.078125;10604.5703125
258;RIO GRANDE DO NORTE;Riacho da Cruz;3165;13750.82910156;4344.64990234
259;PARANA;Peabiru;13347;130212.734375;9755.95996094
260;SAO PAULO;Guzolandia;4917;45986.609375;9352.5703125
261;PIAUI;Regeneracao;18190;60257.28125;3312.65991211
262;MARANHAO;Sao Jose dos Basilios;7489;27508.0546875;3673.12988281
263;RIO DE JANEIRO;Queimados;139378;1224457.75;8785.16015625
264;TOCANTINS;Sucupira;1741;29328.91796875;16846.01953125
265;BAHIA;Cruz das Almas;57098;387271.40625;6782.56982422
266;MINAS GERAIS;Sao Sebastiao do Oeste;5689;141371.28125;24849.9296875
267;TOCANTINS;Novo Jardim;2525;21134.14648438;8369.95996094
268;PARAIBA;Alhandra;18941;233951.8125;12351.61035156
269;RIO GRANDE DO SUL;Alecrim;7259;68632.7734375;9454.84960938
270;PIAUI;Riacho Frio;5093;16725.6796875;3284.05004883
271;PARA;Maraba;203049;3058909.0;15064.87988281
272;TOCANTINS;Angico;3300;19860.26953125;6018.25976562
273;TOCANTINS;Palmeiropolis;8492;63415.48046875;7467.66992188
274;MINAS GERAIS;Santos Dumont;47244;563264.25;11922.45019531
275;BAHIA;Feira de Santana;591707;6358135.5;10745.41015625
276;SAO PAULO;Pereiras;8076;143394.953125;17755.68945312
277;SANTA CATARINA;Rio do Sul;59962;1234667.5;20590.83007812
278;RIO GRANDE DO SUL;Anta Gorda;6326;92337.53125;14596.50976562
279;TOCANTINS;Santa Fe do Araguaia;5795;59609.5390625;10286.37011719
280;BAHIA;Jaborandi;8895;161163.734375;18118.4609375
281;MINAS GERAIS;Congonhal;10261;89204.5078125;8693.54980469
282;PARA;Portel;48945;166577.46875;3403.36010742
283;MINAS GERAIS;Silveirania;2193;14646.60546875;6678.79980469
284;RIO GRANDE DO SUL;Campo Bom;59366;1244125.625;20956.86914062
285;MINAS GERAIS;Sao Romao;9713;52772.86328125;5433.22021484
286;MINAS GERAIS;Sao Joao das Missoes;11267;35754.640625;3173.38989258
287;PARA;Breves;101094;300338.15625;2970.87988281
288;PARANA;Cerro Azul;18660;182354.265625;9772.46972656
289;GOIAS;Petrolina de Goias;10061;71342.0625;7090.95019531
290;RIO GRANDE DO SUL;Coronel Bicaco;7971;115668.953125;14511.21972656
291;PARANA;Pinhao;30295;474849.625;15674.19042969
292;PERNAMBUCO;Bezerros;58354;285545.96875;4893.33984375
293;TOCANTINS;Formoso do Araguaia;18719;251944.96875;13459.3203125
294;SAO PAULO;Piraju;29398;347479.03125;11819.8203125
295;GOIAS;Santo Antonio da Barra;4295;71073.3515625;16547.9296875
296;SANTA CATARINA;Tres Barras;18708;377119.4375;20158.18945312
297;RIO GRANDE DO SUL;Sao Francisco de Assis;19799;209910.53125;10602.08007812
298;RORAIMA;Mucajai;13188;146580.046875;11114.65039062
299;SERGIPE;Maruim;15582;157533.96875;10110.0
300;MINAS GERAIS;Lima Duarte;16494;117942.3671875;7150.62011719
301;MINAS GERAIS;Comercinho;8637;40922.234375;4738.02001953
302;SANTA CATARINA;Cunha Pora;11079;231428.96875;20888.98046875
303;PIAUI;Paqueta;4686;15219.06542969;3247.77001953
304;AMAZONAS;Nova Olinda do Norte;31012;108783.34375;3507.7800293
305;SANTA CATARINA;Itapoa;11489;136989.625;11923.54980469
306;RIO DE JANEIRO;Sao Sebastiao do Alto;9052;83303.6875;9202.79003906
307;BAHIA;Santaluz;35416;129238.140625;3649.14990234
308;ESPIRITO SANTO;Vargem Alta;18637;174520.09375;9364.16992188
309;MINAS GERAIS;Cordislandia;3743;34203.63671875;9138.03027344
310;MINAS GERAIS;Santa Helena de Minas;6126;24735.28125;4037.75
311;MINAS GERAIS;Leopoldina;51545;510692.75;9907.70996094
312;MINAS GERAIS;Machado;39509;624136.0;15797.30957031
313;PIAUI;Lagoinha do Piaui;2676;9008.67675781;3366.4699707
314;RIO GRANDE DO NORTE;Tenente Laurentino Cruz;5369;25890.28125;4822.18017578
315;MATO GROSSO;Sao Pedro da Cipa;4241;27307.92578125;6439.02978516
316;BAHIA;Alagoinhas;137810;1298216.375;9420.33984375
317;SANTA CATARINA;Ouro Verde;2179;63212.0859375;29009.6796875
318;TOCANTINS;Parana;10824;63521.6015625;5868.58984375
319;RIO GRANDE DO NORTE;Sao Jose de Mipibu;38404;224160.21875;5836.89990234
320;SAO PAULO;Cunha;23735;127499.703125;5371.79980469
321;MINAS GERAIS;Coroaci;11131;55665.796875;5000.97021484
322;MINAS GERAIS;Rubim;9855;50577.96484375;5132.20996094
323;MINAS GERAIS;Patrocinio do Muriae;5613;30995.88867188;5522.16015625
324;MINAS GERAIS;Conceicao do Para;4866;114920.3671875;23617.00976562
325;PARAIBA;Santo Andre;2707;11492.10351562;4245.33007812
326;MINAS GERAIS;Capitao Eneas;14830;170824.125;11518.8203125
327;SAO PAULO;Valinhos;107481;3042457.0;28306.9296875
328;MINAS GERAIS;Nova Serrana;67967;619228.5625;9110.71972656
329;SAO PAULO;Florinia;2856;97524.5234375;34147.23828125
330;MINAS GERAIS;Pedro Leopoldo;59064;865962.75;14661.4296875
331;BAHIA;Itirucu;16827;68143.1640625;4049.62988281
332;PARANA;Novo Itacolomi;2808;23699.01367188;8439.8203125
333;AMAZONAS;Manaus;1738641;40486108.0;23286.06054688
334;PARAIBA;Tenorio;2921;12547.22851562;4295.52978516
335;MINAS GERAIS;Rio Espera;6728;28883.20703125;4292.99023438
336;ACRE;Senador Guiomard;19697;217153.859375;11024.71972656
337;GOIAS;Jussara;19130;188344.21875;9845.49023438
338;MINAS GERAIS;Guarani;10049;78912.1640625;7852.74023438
339;SAO PAULO;Fernandopolis;63539;978006.125;15392.21972656
340;SAO PAULO;Riolandia;10542;100229.5703125;9507.63964844
341;PIAUI;Sao Goncalo do Gurgueia;2544;10072.890625;3959.4699707
342;TOCANTINS;Crixas do Tocantins;1289;20361.1640625;15796.08984375
343;PIAUI;Jardim do Mulato;4318;14268.64648438;3304.45996094
344;MARANHAO;Godofredo Viana;11207;31905.390625;2846.91992188
345;MINAS GERAIS;Aguanil;4315;29883.59179688;6925.50976562
346;MINAS GERAIS;Ribeirao das Neves;349307;1712842.5;4903.54003906
347;RIO GRANDE DO NORTE;Ruy Barbosa;3730;17067.80664062;4575.81982422
348;BAHIA;Mulungu do Morro;13879;39825.95703125;2869.51000977
349;RIO GRANDE DO SUL;Ajuricaba;7374;129304.8671875;17535.24023438
350;ALAGOAS;Marechal Deodoro;47623;620477.5;13028.95019531
351;PIAUI;Acaua;7354;22335.9765625;3037.26000977
352;MINAS GERAIS;Itutinga;4165;55648.8046875;13361.05957031
353;PERNAMBUCO;Limoeiro;57243;269157.125;4702.00976562
354;CEARA;Aratuba;12478;50276.91796875;4029.23999023
355;RIO GRANDE DO SUL;Boa Vista das Missoes;2100;54992.50390625;26186.91015625
356;CEARA;Pindoretama;18322;76975.75;4201.27001953
357;MINAS GERAIS;Sabara;126195;1005070.625;7964.43017578
358;PARANA;Rio Branco do Sul;33142;550602.9375;16613.44921875
359;BAHIA;Cabaceiras do Paraguacu;18569;58247.78515625;3136.83007812
360;MINAS GERAIS;Sao Geraldo do Baixio;3461;21757.00390625;6286.33007812
361;SANTA CATARINA;Jardinopolis;1881;23165.56445312;12315.55957031
362;MINAS GERAIS;Lagoa Santa;48213;672530.5;13949.15039062
363;MINAS GERAIS;Senador Cortes;2082;14030.48046875;6738.93994141
364;MINAS GERAIS;Nepomuceno;25152;233659.203125;9289.88964844
365;MATO GROSSO;Cocalinho;6103;93218.71875;15274.24023438
366;PIAUI;Sebastiao Barros;4270;17421.07421875;4079.87988281
367;BAHIA;Tanque Novo;16466;70092.859375;4256.81982422
368;MINAS GERAIS;Bras Pires;4615;20628.4296875;4469.87011719
369;MINAS GERAIS;Monte Azul;22838;94946.1875;4157.37988281
370;SAO PAULO;Maua;417458;6574846.5;15749.71972656
371;BAHIA;Planaltino;8880;31850.30078125;3586.75
372;MINAS GERAIS;Tupaciguara;23841;294354.84375;12346.58007812
373;MATO GROSSO DO SUL;Alcinopolis;4515;92977.2265625;20592.9609375
374;BAHIA;Serrinha;73859;393287.0625;5324.83984375
375;SANTA CATARINA;Abdon Batista;2805;35731.484375;12738.5
376;MARANHAO;Carutapera;21121;67091.46875;3176.5300293
377;RIO DE JANEIRO;Cantagalo;20540;622857.5;30324.11914062
378;CEARA;Boa Viagem;56236;195497.71875;3476.37988281
379;MINAS GERAIS;Sacramento;23112;527058.9375;22804.56054688
380;BAHIA;Ipiau;43723;271794.59375;6216.27978516
381;SANTA CATARINA;Bom Jardim da Serra;4383;47566.6953125;10852.54003906
382;SAO PAULO;Varzea Paulista;107211;1421194.0;13256.04980469
383;GOIAS;Rio Quente;3285;49451.97265625;15053.87011719
384;PIAUI;Santana do Piaui;5015;15979.00292969;3186.23999023
385;RIO GRANDE DO SUL;Carlos Gomes;1718;20166.66992188;11738.45996094
386;SAO PAULO;Riversul;6520;43661.6171875;6696.56982422
387;ACRE;Assis Brasil;5662;48347.30078125;8538.91015625
388;PARAIBA;Araruna;20009;78491.8515625;3922.83007812
389;MINAS GERAIS;Jequitai;8117;44734.484375;5511.20996094
390;BAHIA;Conceicao do Jacuipe;28769;404286.28125;14052.83984375
391;BAHIA;Ibirapitanga;24223;94739.7421875;3911.14990234
392;GOIAS;Acreuna;19246;292935.15625;15220.5703125
393;ALAGOAS;Sao Miguel dos Milagres;7601;29789.48828125;3919.14990234
394;MATO GROSSO;Pontes e Lacerda;39228;523958.28125;13356.74023438
395;MINAS GERAIS;Aguas Formosas;19310;92617.0078125;4796.31982422
396;PARANA;Imbituva;28660;220502.328125;7693.72998047
397;SAO PAULO;Alto Alegre;4267;38369.390625;8992.12011719
398;ESPIRITO SANTO;Joao Neiva;14621;162151.4375;11090.30957031
399;PIAUI;Valenca do Piaui;20303;90192.671875;4442.33007812
400;MINAS GERAIS;Pompeu;29929;387824.65625;12958.16015625
